layer,concept,feature_id,full_score,full_rank,resample_support,median_resample_rank,mean_resample_rank,resamples,top_features_per_resample
4,german_language,16885,1.0560680424123912,17,0.84375,17.0,16.787037037037038,128,20
4,german_language,21110,2.3870907718096586,1,1.0,1.0,1.015625,128,20
4,german_language,12413,1.4604458253313408,7,1.0,8.0,8.4453125,128,20
4,mathematics,21510,0.23623045240816867,102,0.0078125,20.0,20.0,128,20
4,mathematics,32136,0.6478167670554459,24,0.34375,13.5,12.886363636363637,128,20
4,mathematics,18700,0.7917195385151075,15,0.7109375,13.0,12.703296703296703,128,20
4,mathematics,8720,1.1068763161077328,3,1.0,4.0,4.28125,128,20
4,mathematics,3602,0.4486543242078304,45,0.046875,18.5,18.166666666666668,128,20
4,mathematics,7059,1.473697936658317,1,1.0,1.0,1.1875,128,20
4,mathematics,27284,0.8272495033821379,13,0.796875,11.0,11.03921568627451,128,20
4,mathematics,29075,0.4892415305419827,41,0.09375,15.5,14.5,128,20
4,mathematics,17943,0.44260505796982896,48,0.046875,16.0,14.333333333333334,128,20
4,mathematics,6039,0.6629295562581526,20,0.3671875,15.0,15.085106382978724,128,20
4,mathematics,3866,0.9605767841645803,5,0.921875,6.0,7.966101694915254,128,20
4,mathematics,28442,0.6361317639535745,25,0.109375,18.5,18.428571428571427,128,20
4,mathematics,23194,0.20817098519913613,114,0.015625,17.5,17.5,128,20
4,mathematics,22684,0.4334195173592036,50,0.0,nan,nan,128,20
4,mathematics,14202,0.6249420846471809,27,0.1484375,18.0,17.105263157894736,128,20
4,mathematics,25374,0.5927051228995217,29,0.1171875,19.0,17.266666666666666,128,20
4,mathematics,7456,0.48628281970031567,42,0.0625,16.5,15.125,128,20
4,mathematics,18082,0.39569099943953834,60,0.0078125,17.0,17.0,128,20
4,mathematics,21283,0.2995583631509361,82,0.0078125,20.0,20.0,128,20
4,mathematics,28707,0.2766438275570608,90,0.0078125,17.0,17.0,128,20
4,mathematics,10533,0.4006045916888981,58,0.015625,15.5,15.5,128,20
4,mathematics,12710,0.44353369625116906,46,0.0,nan,nan,128,20
4,mathematics,27946,0.5582398273193147,32,0.1171875,16.0,15.933333333333334,128,20
4,mathematics,12075,0.864343194295517,11,0.8359375,10.0,10.383177570093459,128,20
4,mathematics,9772,0.8031206118960256,14,0.703125,12.0,12.2,128,20
4,mathematics,23983,0.2998604777886311,81,0.046875,12.0,12.833333333333334,128,20
4,mathematics,5937,0.5089495673411955,36,0.09375,16.5,15.75,128,20
4,mathematics,14386,0.9042251356174581,8,0.7734375,9.0,8.969696969696969,128,20
4,mathematics,26293,0.34037840217798454,70,0.0078125,19.0,19.0,128,20
4,mathematics,24246,0.45307904483485434,44,0.03125,19.5,18.75,128,20
4,mathematics,5686,0.5225872537302926,33,0.0234375,17.0,17.0,128,20
